keyword,formats
molest*,molestation; molestations; molesting; molested; molest; molester
harass*,harassed; harassing; harass; harassment
rape,rape
clarence thomas,clarence thomas
attack,attack
raped,raped
anita hill,anita hill
rapist,rapist
insult,insult
brutalized,brutalized
child abuse,child abuse
rapes,rapes
incest*,incest; incestuous
playboy,playboy
outrage,outrage
ladies man,ladies man
fondled,fondled
ladies' man,ladies' man
raping,raping
sex* assault,sexual assault
sex* abuse,sexual abuse
hanky panky,hanky panky
pedophile,pedophile
pinched,pinched
lady's man,lady's man
seduction,seduction
seduce,seduce
sexually inappropriate,sexually inappropriate
anti-rape,anti-rape
took advantage of me,took advantage of me
fondling,fondling
sodomy,sodomy
interfered with her,interfered with her
