keyword,count
attack,578
harass*,386
clarence thomas,363
rape,297
playboy,269
raped,224
insult,176
molest*,106
child abuse,91
anita hill,77
raping,74
outrage,56
incest*,40
ladies' man,34
brutalized,28
sex* abuse,26
rapist,24
rapes,24
pinched,23
seduce,22
sex* assault,21
lady's man,17
ladies man,15
hanky panky,11
pedophile,8
sodomy,7
seduction,6
fondled,5
took advantage of me,5
took advantage of her,4
sexually inappropriate,3
ravished,2
fondling,2
interfered with her,2
anti-rape,1
fondle,1
sodomized,1
